Year,Event,Name,Medal,Gender,Country,Age,type
1998,Recurve Women's individual,Irene Franchini,Silver,Female,Franchini,Unknown,FIELD
1998,Recurve Women's individual,Carole Ferriou,Bronze,Female,Ferriou,Unknown,FIELD
1998,Barebow Women's individual,Trish Lovell,Gold,Female,Lovell,Unknown,FIELD
1998,Barebow Women's individual,Odile Boussière,Silver,Female,Boussière,Unknown,FIELD
1998,Barebow Women's individual,Jutta Schneider,Bronze,Female,Schneider,Unknown,FIELD
2000,Compound Men's individual,Morgan Lundin,Gold,Male,Lundin,Unknown,FIELD
2000,Compound Men's individual,Dave Cousins,Silver,Male,Cousins,Unknown,FIELD
2000,Compound Men's individual,Peter Penner,Bronze,Male,Penner,Unknown,FIELD
2000,Recurve Men's individual,Michele Frangilli,Gold,Male,Frangilli,Unknown,FIELD
2000,Recurve Men's individual,Göran Bjerendal,Silver,Male,Bjerendal,Unknown,FIELD
2000,Recurve Men's individual,Jon Shales,Bronze,Male,Shales,Unknown,FIELD
2000,Barebow Men's individual,Mathias Larsson,Gold,Male,Larsson,Unknown,FIELD
2000,Barebow Men's individual,Marjan Podrzaj,Silver,Male,Podrzaj,Unknown,FIELD
2000,Barebow Men's individual,Erik Jonsson,Bronze,Male,Jonsson,Unknown,FIELD
2000,Compound Women's individual,Jahna Davis,Gold,Female,Davis,Unknown,FIELD
2000,Compound Women's individual,Rosanna Spada,Silver,Female,Spada,Unknown,FIELD
2000,Compound Women's individual,Monika Blume Thasler,Bronze,Female,Thasler,Unknown,FIELD
2000,Recurve Women's individual,Christel van Berkel,Gold,Female,Berkel,Unknown,FIELD
2000,Recurve Women's individual,Manuela Kaltenmark,Silver,Female,Kaltenmark,Unknown,FIELD
2000,Recurve Women's individual,Cristina Ioratti,Bronze,Female,Ioratti,Unknown,FIELD
2000,Barebow Women's individual,Trish Lovell,Gold,Female,Lovell,Unknown,FIELD
2000,Barebow Women's individual,Odile Boussière,Silver,Female,Boussière,Unknown,FIELD
2000,Barebow Women's individual,Anne Vikjanen,Bronze,Female,Vikjanen,Unknown,FIELD
2000,Compound Men's individual,Giacomo Biaggini,Gold,Male,Biaggini,Unknown,FIELD
2000,Compound Men's individual,Lawrence Lovell,Silver,Male,Lovell,Unknown,FIELD
2000,Compound Men's individual,nan,Bronze,Male,Unknown,Unknown,FIELD
2000,Recurve Men's individual,Daniele Ascenzi,Gold,Male,Ascenzi,Unknown,FIELD
2000,Recurve Men's individual,Dave Van De Coelen,Silver,Male,Coelen,Unknown,FIELD
2000,Recurve Men's individual,Jan Verhoeven,Bronze,Male,Verhoeven,Unknown,FIELD
2000,Barebow Men's individual,Luca Del Secco,Gold,Male,Secco,Unknown,FIELD
2000,Barebow Men's individual,nan,Silver,Male,Unknown,Unknown,FIELD
2000,Barebow Men's individual,nan,Bronze,Male,Unknown,Unknown,FIELD
2000,Compound Women's individual,Francesca Fabruzzo,Gold,Female,Fabruzzo,Unknown,FIELD
2000,Compound Women's individual,nan,Silver,Female,Unknown,Unknown,FIELD
2000,Compound Women's individual,nan,Bronze,Female,Unknown,Unknown,FIELD
2000,Barebow Women's individual,Aden Mulligan,Gold,Female,Mulligan,Unknown,FIELD
2000,Barebow Women's individual,Darinka De Lucia,Silver,Female,Lucia,Unknown,FIELD
2000,Barebow Women's individual,nan,Bronze,Female,Unknown,Unknown,FIELD
2002,Compound Men's individual,Dave Cousins,Gold,Male,Cousins,Unknown,FIELD
2002,Compound Men's individual,Chris White,Silver,Male,White,Unknown,FIELD
2002,Compound Men's individual,Stephane Dardenne,Bronze,Male,Dardenne,Unknown,FIELD
2002,Recurve Men's individual,Michele Frangilli,Gold,Male,Frangilli,Unknown,FIELD
2002,Recurve Men's individual,Sebastian Rohrberg,Silver,Male,Rohrberg,Unknown,FIELD
2002,Recurve Men's individual,Alan Wills,Bronze,Male,Wills,Unknown,FIELD
2002,Barebow Men's individual,Martin Ottosson,Gold,Male,Ottosson,Unknown,FIELD
2002,Barebow Men's individual,Twan Cleven,Silver,Male,Cleven,Unknown,FIELD
2002,Barebow Men's individual,Danielle Bellotti,Bronze,Male,Bellotti,Unknown,FIELD
2002,Compound Women's individual,Catherine Pellen,Gold,Female,Pellen,Unknown,FIELD
2002,Compound Women's individual,Karin Teghammar,Silver,Female,Teghammar,Unknown,FIELD
2002,Compound Women's individual,Anne Laurila,Bronze,Female,Laurila,Unknown,FIELD
2002,Recurve Women's individual,Laure Barcynski,Gold,Female,Barcynski,Unknown,FIELD
2002,Recurve Women's individual,Cristina Ioratti,Silver,Female,Ioratti,Unknown,FIELD
2002,Recurve Women's individual,Irene Franchini,Bronze,Female,Franchini,Unknown,FIELD
2002,Barebow Women's individual,Reingild Linhart,Gold,Female,Linhart,Unknown,FIELD
2002,Barebow Women's individual,Monika Jentges,Silver,Female,Jentges,Unknown,FIELD
2002,Barebow Women's individual,Trish Lovell,Bronze,Female,Lovell,Unknown,FIELD
2004,Compound Men's individual,Chris White,Gold,Male,White,Unknown,FIELD
2004,Compound Men's individual,John Dudley,Silver,Male,Dudley,Unknown,FIELD
2004,Compound Men's individual,Morgan Lundin,Bronze,Male,Lundin,Unknown,FIELD
2004,Recurve Men's individual,Sebastian Rohrberg,Gold,Male,Rohrberg,Unknown,FIELD
2004,Recurve Men's individual,Joseph McGlyn,Silver,Male,McGlyn,Unknown,FIELD
2004,Recurve Men's individual,Jean-Michel Piquet,Bronze,Male,Piquet,Unknown,FIELD
2004,Barebow Men's individual,Erik Jonsson,Gold,Male,Jonsson,Unknown,FIELD
2004,Barebow Men's individual,Mario Orlandi,Silver,Male,Orlandi,Unknown,FIELD
2004,Barebow Men's individual,Mathias Larsson,Bronze,Male,Larsson,Unknown,FIELD
2004,Compound Women's individual,Francoise Volle,Gold,Female,Volle,Unknown,FIELD
2004,Compound Women's individual,Petra Friedl,Silver,Female,Friedl,Unknown,FIELD
2004,Compound Women's individual,Martina Schacht,Bronze,Female,Schacht,Unknown,FIELD
2004,Recurve Women's individual,Jessica Tomasi,Gold,Female,Tomasi,Unknown,FIELD
2004,Recurve Women's individual,Elisabetta Buono,Silver,Female,Buono,Unknown,FIELD
2004,Recurve Women's individual,Manuela Kaltenmark,Bronze,Female,Kaltenmark,Unknown,FIELD
2004,Barebow Women's individual,Monika Jentges,Gold,Female,Jentges,Unknown,FIELD
2004,Barebow Women's individual,Reingild Linhart,Silver,Female,Linhart,Unknown,FIELD
2004,Barebow Women's individual,Marian Howells,Bronze,Female,Howells,Unknown,FIELD
2004,Compound Men's individual,Stefano Zanobetti,Gold,Male,Zanobetti,Unknown,FIELD
2004,Compound Men's individual,Mikael Roos,Silver,Male,Roos,Unknown,FIELD
2004,Compound Men's individual,Milan Kiss,Bronze,Male,Kiss,Unknown,FIELD
2004,Recurve Men's individual,Ivan Muznik,Gold,Male,Muznik,Unknown,FIELD
2004,Recurve Men's individual,Rok Mažgon,Silver,Male,Mažgon,Unknown,FIELD
2004,Recurve Men's individual,Alessandro Anderle,Bronze,Male,Anderle,Unknown,FIELD
2004,Barebow Men's individual,Andreas Lindstrom,Gold,Male,Lindstrom,Unknown,FIELD
2004,Barebow Men's individual,Gavin Howells,Silver,Male,Howells,Unknown,FIELD
2004,Barebow Men's individual,Andrej Natlačen,Bronze,Male,Natlačen,Unknown,FIELD
2004,Compound Women's individual,Isabell Danielsson,Gold,Female,Danielsson,Unknown,FIELD
2004,Compound Women's individual,Sara Boberg,Silver,Female,Boberg,Unknown,FIELD
2004,Compound Women's individual,Claudia Benigni,Bronze,Female,Benigni,Unknown,FIELD
2004,Recurve Women's individual,Maja Žlender,Gold,Female,Žlender,Unknown,FIELD
2004,Recurve Women's individual,Carla Frangilli,Silver,Female,Frangilli,Unknown,FIELD
2004,Recurve Women's individual,Arianna Zenoniani,Bronze,Female,Zenoniani,Unknown,FIELD
2004,Barebow Women's individual,Irene Mausoli,Gold,Female,Mausoli,Unknown,FIELD
2004,Barebow Women's individual,nan,Silver,Female,Unknown,Unknown,FIELD
2004,Barebow Women's individual,nan,Bronze,Female,Unknown,Unknown,FIELD
2006,Compound Men's individual,Morgan Lundin,Gold,Male,Lundin,Unknown,FIELD
2006,Compound Men's individual,Dave Cousins,Silver,Male,Cousins,Unknown,FIELD
2006,Compound Men's individual,John Dudley,Bronze,Male,Dudley,Unknown,FIELD
2006,Recurve Men's individual,Michele Frangilli,Gold,Male,Frangilli,Unknown,FIELD
2006,Recurve Men's individual,Sebastian Rohrberg,Silver,Male,Rohrberg,Unknown,FIELD
2006,Recurve Men's individual,Vic Wunderle,Bronze,Male,Wunderle,Unknown,FIELD
2006,Barebow Men's individual,Giuseppe Seimandi,Gold,Male,Seimandi,Unknown,FIELD
2006,Barebow Men's individual,Mathias Larsson,Silver,Male,Larsson,Unknown,FIELD
2006,Barebow Men's individual,Sergio Massimo Cassiani,Bronze,Male,Cassiani,Unknown,FIELD
2006,Compound Women's individual,Silke Hottecke,Gold,Female,Hottecke,Unknown,FIELD
2006,Compound Women's individual,Gladys Willems,Silver,Female,Willems,Unknown,FIELD
2006,Compound Women's individual,Jamie Van Natta,Bronze,Female,Natta,Unknown,FIELD
2006,Recurve Women's individual,Dolores Cekanda,Gold,Female,Cekanda,Unknown,FIELD
2006,Recurve Women's individual,Sophie Dodemont,Silver,Female,Dodemont,Unknown,FIELD
2006,Recurve Women's individual,Naomi Folkard,Bronze,Female,Folkard,Unknown,FIELD
2006,Barebow Women's individual,Luciana Pennacchi,Gold,Female,Pennacchi,Unknown,FIELD
2006,Barebow Women's individual,Monika Jentges,Silver,Female,Jentges,Unknown,FIELD
2006,Barebow Women's individual,Christine Gauthé,Bronze,Female,Gauthé,Unknown,FIELD
2006,Compound Men's individual,Mikkel Norgaard,Gold,Male,Norgaard,Unknown,FIELD
2006,Compound Men's individual,Mikael Roos,Silver,Male,Roos,Unknown,FIELD
2006,Compound Men's individual,Christian Hedwall,Bronze,Male,Hedwall,Unknown,FIELD
2006,Recurve Men's individual,Lars Eggestig,Gold,Male,Eggestig,Unknown,FIELD
2006,Recurve Men's individual,Robert Landskaug,Silver,Male,Landskaug,Unknown,FIELD
2006,Recurve Men's individual,Juuso Huhtala,Bronze,Male,Huhtala,Unknown,FIELD
2006,Barebow Men's individual,Mattia Careggio,Gold,Male,Careggio,Unknown,FIELD
2006,Barebow Men's individual,Michal Sot,Silver,Male,Sot,Unknown,FIELD
2006,Barebow Men's individual,Urban Jelenc,Bronze,Male,Jelenc,Unknown,FIELD
2006,Compound Women's individual,Malin Johansson,Gold,Female,Johansson,Unknown,FIELD
2006,Compound Women's individual,Tanja Zorman,Silver,Female,Zorman,Unknown,FIELD
2006,Compound Women's individual,Anastasia Anastasio,Bronze,Female,Anastasio,Unknown,FIELD
2006,Recurve Women's individual,Malin Wallin,Gold,Female,Wallin,Unknown,FIELD
2006,Recurve Women's individual,not awarded,Silver,Female,awarded,Unknown,FIELD
2006,Recurve Women's individual,not awarded,Bronze,Female,awarded,Unknown,FIELD
2006,Barebow Women's individual,Petra Krt,Gold,Female,Krt,Unknown,FIELD
2006,Barebow Women's individual,Sara Emanuelsson,Silver,Female,Emanuelsson,Unknown,FIELD
2006,Barebow Women's individual,Erika Seger,Bronze,Female,Seger,Unknown,FIELD
2008,Compound Men's individual,Rod Menzer,Gold,Male,Menzer,Unknown,FIELD
2008,Compound Men's individual,Stephane Dardenne,Silver,Male,Dardenne,Unknown,FIELD
2008,Compound Men's individual,Dave Cousins,Bronze,Male,Cousins,Unknown,FIELD
2008,Recurve Men's individual,Sebastian Rohrberg,Gold,Male,Rohrberg,Unknown,FIELD
2008,Recurve Men's individual,Andreas Heuwing,Silver,Male,Heuwing,Unknown,FIELD
2008,Recurve Men's individual,Yuki Sakaeyama,Bronze,Male,Sakaeyama,Unknown,FIELD
2008,Barebow Men's individual,Sergio Massimo Cassiani,Gold,Male,Cassiani,Unknown,FIELD
2008,Barebow Men's individual,Ladislav Voboril,Silver,Male,Voboril,Unknown,FIELD
2008,Barebow Men's individual,Mathias Larsson,Bronze,Male,Larsson,Unknown,FIELD
2008,Compound Women's individual,Jamie Van Natta,Gold,Female,Natta,Unknown,FIELD
2008,Compound Women's individual,Ulrika Sjöwall,Silver,Female,Sjöwall,Unknown,FIELD
2008,Compound Women's individual,Anne Laurila,Bronze,Female,Laurila,Unknown,FIELD
2008,Recurve Women's individual,Jessica Tomasi,Gold,Female,Tomasi,Unknown,FIELD
2008,Recurve Women's individual,Elin Kattstrom,Silver,Female,Kattstrom,Unknown,FIELD
2008,Recurve Women's individual,Lisa Unruh,Bronze,Female,Unruh,Unknown,FIELD
2008,Barebow Women's individual,Becky Nelson-Harris,Gold,Female,Harris,Unknown,FIELD
2008,Barebow Women's individual,Annika Åhlund,Silver,Female,Åhlund,Unknown,FIELD
2008,Barebow Women's individual,Manja Conrad,Bronze,Female,Conrad,Unknown,FIELD
2008,Compound Men's individual,Alex Bridgman,Gold,Male,Bridgman,Unknown,FIELD
2008,Compound Men's individual,Thor Finderup Sorensen,Silver,Male,Sorensen,Unknown,FIELD
2008,Compound Men's individual,Florian Oswald,Bronze,Male,Oswald,Unknown,FIELD
2008,Recurve Men's individual,Massimilliano Mandia,Gold,Male,Mandia,Unknown,FIELD
2008,Recurve Men's individual,Youjia Yuan,Silver,Male,Yuan,Unknown,FIELD
2008,Recurve Men's individual,Christopher Wells,Bronze,Male,Wells,Unknown,FIELD
2008,Recurve Women's individual,Ana Umer,Gold,Female,Umer,Unknown,FIELD
2008,Recurve Women's individual,Hui Jiang,Silver,Female,Jiang,Unknown,FIELD
2008,Recurve Women's individual,Stefania Rolle,Bronze,Female,Rolle,Unknown,FIELD
2010,Compound Men's individual,Dave Cousins,Gold,Male,Cousins,Unknown,FIELD
2010,Compound Men's individual,Kevin Wilkey,Silver,Male,Wilkey,Unknown,FIELD
2010,Compound Men's individual,Jeremy Thierry,Bronze,Male,Thierry,Unknown,FIELD
2010,Recurve Men's individual,Alan Wills,Gold,Male,Wills,Unknown,FIELD
2010,Recurve Men's individual,Jon Shales,Silver,Male,Shales,Unknown,FIELD
2010,Recurve Men's individual,Sebastian Rohrberg,Bronze,Male,Rohrberg,Unknown,FIELD
2010,Barebow Men's individual,Pasi Ahjokivi,Gold,Male,Ahjokivi,Unknown,FIELD
2010,Barebow Men's individual,Giuseppe Seimandi,Silver,Male,Seimandi,Unknown,FIELD
2010,Barebow Men's individual,Sergio Massimo Cassiani,Bronze,Male,Cassiani,Unknown,FIELD
2010,Compound Women's individual,Anne Lantee,Gold,Female,Lantee,Unknown,FIELD
2010,Compound Women's individual,Isabell Danielsson,Silver,Female,Danielsson,Unknown,FIELD
2010,Compound Women's individual,Gladys Willems,Bronze,Female,Willems,Unknown,FIELD
2010,Recurve Women's individual,Christine Bjerendal,Gold,Female,Bjerendal,Unknown,FIELD
2010,Recurve Women's individual,Naomi Folkard,Silver,Female,Folkard,Unknown,FIELD
2010,Recurve Women's individual,Jessica Tomasi,Bronze,Female,Tomasi,Unknown,FIELD
2010,Barebow Women's individual,Eleonora Strobbe,Gold,Female,Strobbe,Unknown,FIELD
2010,Barebow Women's individual,Christine Gauthe,Silver,Female,Gauthe,Unknown,FIELD
2010,Barebow Women's individual,Monika Jentges,Bronze,Female,Jentges,Unknown,FIELD
2010,Compound Men's individual,Sean Elsa,Gold,Male,Elsa,Unknown,FIELD
2010,Compound Men's individual,Florian Oswald,Silver,Male,Oswald,Unknown,FIELD
2010,Compound Men's individual,Alex Bridgman,Bronze,Male,Bridgman,Unknown,FIELD
2010,Recurve Men's individual,Jarrod Nicholson,Gold,Male,Nicholson,Unknown,FIELD
2010,Recurve Men's individual,Marco Morello,Silver,Male,Morello,Unknown,FIELD
2010,Recurve Men's individual,Florian Dorer,Bronze,Male,Dorer,Unknown,FIELD
2010,Barebow Men's individual,Raphael Petit Minuesa,Gold,Male,Minuesa,Unknown,FIELD
2010,Barebow Men's individual,Kalle Puman,Silver,Male,Puman,Unknown,FIELD
2010,Barebow Men's individual,Marco Spano,Bronze,Male,Spano,Unknown,FIELD
2010,Compound Women's individual,Emeline Salmon,Gold,Female,Salmon,Unknown,FIELD
2010,Compound Women's individual,Hunter Jackson,Silver,Female,Jackson,Unknown,FIELD
2010,Compound Women's individual,Anastasia Anastasio,Bronze,Female,Anastasio,Unknown,FIELD
2010,Recurve Women's individual,Zoe Gobbels,Gold,Female,Gobbels,Unknown,FIELD
2010,Recurve Women's individual,Elenea Morabito,Silver,Female,Morabito,Unknown,FIELD
2010,Recurve Women's individual,Ana Umer,Bronze,Female,Umer,Unknown,FIELD
2012,Compound Men's individual,Jesse Broadwater,Gold,Male,Broadwater,Unknown,FIELD
2012,Compound Men's individual,Slavko Tursic,Silver,Male,Tursic,Unknown,FIELD
2012,Compound Men's individual,Dave Cousins,Bronze,Male,Cousins,Unknown,FIELD
2012,Recurve Men's individual,Jean-Charles Valladont,Gold,Male,Valladont,Unknown,FIELD
2012,Recurve Men's individual,Jake Kaminski,Silver,Male,Kaminski,Unknown,FIELD
2012,Recurve Men's individual,Jon Shales,Bronze,Male,Shales,Unknown,FIELD
2012,Barebow Men's individual,Sebastian Juanola Codina,Gold,Male,Codina,Unknown,FIELD
2012,Barebow Men's individual,Alan Eagleton,Silver,Male,Eagleton,Unknown,FIELD
2012,Barebow Men's individual,Giuseppe Seimandi,Bronze,Male,Seimandi,Unknown,FIELD
2012,Compound Women's individual,Ivana Buden,Gold,Female,Buden,Unknown,FIELD
2012,Compound Women's individual,Paige Pearce,Silver,Female,Pearce,Unknown,FIELD
2012,Compound Women's individual,Petra Goebel,Bronze,Female,Goebel,Unknown,FIELD
2012,Recurve Women's individual,Elena Richter,Gold,Female,Richter,Unknown,FIELD
2012,Recurve Women's individual,Zoe Gobbels,Silver,Female,Gobbels,Unknown,FIELD
2012,Recurve Women's individual,Naomi Folkard,Bronze,Female,Folkard,Unknown,FIELD
2012,Barebow Women's individual,Lina Bjorklund,Gold,Female,Bjorklund,Unknown,FIELD
2012,Barebow Women's individual,Elenora Strobbe,Silver,Female,Strobbe,Unknown,FIELD
2012,Barebow Women's individual,Monika Jentges,Bronze,Female,Jentges,Unknown,FIELD
2012,Compound Men's individual,Renaud Domanski,Gold,Male,Domanski,Unknown,FIELD
2012,Compound Men's individual,Alex Bridgman,Silver,Male,Bridgman,Unknown,FIELD
2012,Compound Men's individual,Domagoj Buden,Bronze,Male,Buden,Unknown,FIELD
2012,Recurve Men's individual,Jesper Fredriksson,Gold,Male,Fredriksson,Unknown,FIELD
2012,Recurve Men's individual,Marco Morello,Silver,Male,Morello,Unknown,FIELD
2012,Recurve Men's individual,Paul Andre Hagen,Bronze,Male,Hagen,Unknown,FIELD
2012,Barebow Men's individual,No Event,Gold,Male,Event,Unknown,FIELD
2012,Barebow Men's individual,nan,Silver,Male,Unknown,Unknown,FIELD
2012,Barebow Men's individual,nan,Bronze,Male,Unknown,Unknown,FIELD
2012,Compound Women's individual,Sabrina Franzoi,Gold,Female,Franzoi,Unknown,FIELD
2012,Compound Women's individual,Maja Orlic,Silver,Female,Orlic,Unknown,FIELD
2012,Compound Women's individual,Runa Grydeland,Bronze,Female,Grydeland,Unknown,FIELD
2012,Recurve Women's individual,Marion Vives,Gold,Female,Vives,Unknown,FIELD
2012,Recurve Women's individual,Mirjam Tuokkola,Silver,Female,Tuokkola,Unknown,FIELD
2012,Recurve Women's individual,Sandra van der Looy,Bronze,Female,Looy,Unknown,FIELD
2012,Barebow Women's individual,No Event,Gold,Female,Event,Unknown,FIELD
2012,Barebow Women's individual,nan,Silver,Female,Unknown,Unknown,FIELD
2012,Barebow Women's individual,nan,Bronze,Female,Unknown,Unknown,FIELD
2014,Compound Men's individual,Jesse Broadwater,Gold,Male,Broadwater,Unknown,FIELD
2014,Compound Men's individual,Christopher White,Silver,Male,White,Unknown,FIELD
2014,Compound Men's individual,Slavko Tursic,Bronze,Male,Tursic,Unknown,FIELD
2014,Recurve Men's individual,Brady Ellison,Gold,Male,Ellison,Unknown,FIELD
2014,Recurve Men's individual,Jean-Charles Valladont,Silver,Male,Valladont,Unknown,FIELD
2014,Recurve Men's individual,Jerome Bidault,Bronze,Male,Bidault,Unknown,FIELD
2014,Barebow Men's individual,Erik Jonsson,Gold,Male,Jonsson,Unknown,FIELD
2014,Barebow Men's individual,Martin Ottosson,Silver,Male,Ottosson,Unknown,FIELD
2014,Barebow Men's individual,Michael Fisher,Bronze,Male,Fisher,Unknown,FIELD
2014,Compound Women's individual,Toja Cerne,Gold,Female,Cerne,Unknown,FIELD
2014,Compound Women's individual,Ivana Buden,Silver,Female,Buden,Unknown,FIELD
2014,Compound Women's individual,Sandrine Vandionant-Frangilli,Bronze,Female,Frangilli,Unknown,FIELD
2014,Recurve Women's individual,Lisa Unruh,Gold,Female,Unruh,Unknown,FIELD
2014,Recurve Women's individual,Laure Delfau,Silver,Female,Delfau,Unknown,FIELD
2014,Recurve Women's individual,Naomi Folkard,Bronze,Female,Folkard,Unknown,FIELD
2014,Barebow Women's individual,Lina Bjorklund,Gold,Female,Bjorklund,Unknown,FIELD
2014,Barebow Women's individual,Cinzia Noziglia,Silver,Female,Noziglia,Unknown,FIELD
2014,Barebow Women's individual,Eleonora Strobbe,Bronze,Female,Strobbe,Unknown,FIELD
2014,Compound Men's individual,Mario Vavro,Gold,Male,Vavro,Unknown,FIELD
2014,Compound Men's individual,Jordan Mitchell,Silver,Male,Mitchell,Unknown,FIELD
2014,Compound Men's individual,Domagoj Buden,Bronze,Male,Buden,Unknown,FIELD
2014,Recurve Men's individual,Matija Mihalic,Gold,Male,Mihalic,Unknown,FIELD
2014,Recurve Men's individual,Nathan Yamaguchi,Silver,Male,Yamaguchi,Unknown,FIELD
2014,Recurve Men's individual,Jan Zapletal,Bronze,Male,Zapletal,Unknown,FIELD
2014,Barebow Men's individual,Alessio Noceti,Gold,Male,Noceti,Unknown,FIELD
2014,Barebow Men's individual,Craig McCreery,Silver,Male,McCreery,Unknown,FIELD
2014,Barebow Men's individual,Mike Cleven,Bronze,Male,Cleven,Unknown,FIELD
2014,Compound Women's individual,Maja Orlic,Gold,Female,Orlic,Unknown,FIELD
2014,Compound Women's individual,Runa Grydeland,Silver,Female,Grydeland,Unknown,FIELD
2014,Compound Women's individual,Rebecca Lennon,Bronze,Female,Lennon,Unknown,FIELD
2014,Recurve Women's individual,Miriam Trafford,Gold,Female,Trafford,Unknown,FIELD
2014,Recurve Women's individual,Karissa Yamaguchi,Silver,Female,Yamaguchi,Unknown,FIELD
2014,Recurve Women's individual,Laura Baldelli,Bronze,Female,Baldelli,Unknown,FIELD
2014,Barebow Women's individual,Anna Carrasco,Gold,Female,Carrasco,Unknown,FIELD
2014,Barebow Women's individual,Sophie Benton,Silver,Female,Benton,Unknown,FIELD
2014,Barebow Women's individual,Elodie Donval,Bronze,Female,Donval,Unknown,FIELD
2022,Compound Men's individual,Dave Cousins,Gold,Male,Cousins,Unknown,FIELD
2022,Compound Men's individual,Nico Wiener,Silver,Male,Wiener,Unknown,FIELD
2022,Compound Men's individual,Alexander Kullberg,Bronze,Male,Kullberg,Unknown,FIELD
2022,Recurve Men's individual,Florian Unruh,Gold,Male,Unruh,Unknown,FIELD
2022,Recurve Men's individual,Matthew Nofel,Silver,Male,Nofel,Unknown,FIELD
2022,Recurve Men's individual,Patrick Huston,Bronze,Male,Huston,Unknown,FIELD
2022,Barebow Men's individual,David Jackson,Gold,Male,Jackson,Unknown,FIELD
2022,Barebow Men's individual,Eric Esposito,Silver,Male,Esposito,Unknown,FIELD
2022,Barebow Men's individual,Martin Ottosson,Bronze,Male,Ottosson,Unknown,FIELD
2022,Compound Women's individual,Paige Pearce,Gold,Female,Pearce,Unknown,FIELD
2022,Compound Women's individual,Toja Ellison,Silver,Female,Ellison,Unknown,FIELD
2022,Compound Women's individual,Julia Böhnke,Bronze,Female,Böhnke,Unknown,FIELD
2022,Recurve Women's individual,Chiara Rebagliati,Gold,Female,Rebagliati,Unknown,FIELD
2022,Recurve Women's individual,Bryony Pitman,Silver,Female,Pitman,Unknown,FIELD
2022,Recurve Women's individual,Aurélie Autret,Bronze,Female,Autret,Unknown,FIELD
2022,Barebow Women's individual,Cinzia Noziglia,Gold,Female,Noziglia,Unknown,FIELD
2022,Barebow Women's individual,Christine Gauthe,Silver,Female,Gauthe,Unknown,FIELD
2022,Barebow Women's individual,Megumi Masaki,Bronze,Female,Masaki,Unknown,FIELD
2022,Compound Men's individual,Dustin Watson,Gold,Male,Watson,Unknown,FIELD
2022,Compound Men's individual,Tim Jevsnik,Silver,Male,Jevsnik,Unknown,FIELD
2022,Compound Men's individual,Aljaz Matija Brenk,Bronze,Male,Brenk,Unknown,FIELD
2022,Recurve Men's individual,Francho Rufas Morillo,Gold,Male,Morillo,Unknown,FIELD
2022,Recurve Men's individual,Richard Krejčí,Silver,Male,Krejčí,Unknown,FIELD
2022,Recurve Men's individual,Antoine Balanant,Bronze,Male,Balanant,Unknown,FIELD
2022,Barebow Men's individual,Adrian Vlase,Gold,Male,Vlase,Unknown,FIELD
2022,Barebow Men's individual,Max Rossiter,Silver,Male,Rossiter,Unknown,FIELD
2022,Barebow Men's individual,Not awarded,Bronze,Male,awarded,Unknown,FIELD
2022,Compound Women's individual,Lilie Aguilar,Gold,Female,Aguilar,Unknown,FIELD
2022,Compound Women's individual,Andreea Albu,Silver,Female,Albu,Unknown,FIELD
2022,Compound Women's individual,Ylva Hjelle,Bronze,Female,Hjelle,Unknown,FIELD
2022,Recurve Women's individual,Aiko Rolando,Gold,Female,Rolando,Unknown,FIELD
2022,Recurve Women's individual,Roberta Di Francesco,Silver,Female,Francesco,Unknown,FIELD
2022,Recurve Women's individual,Louisa Piper,Bronze,Female,Piper,Unknown,FIELD
2022,Barebow Women's individual,Rubie Chambers,Gold,Female,Chambers,Unknown,FIELD
2022,Barebow Women's individual,Elena Topliceanu,Silver,Female,Topliceanu,Unknown,FIELD
2022,Barebow Women's individual,Aitana Gracia Ardoiz,Bronze,Female,Ardoiz,Unknown,FIELD
2024,Compound Men's individual,Mike Schloesser,Gold,Male,Netherlands,Unknown,FIELD
2024,Compound Men's individual,Florian Stadler,Silver,Male,Germany,Unknown,FIELD
2024,Compound Men's individual,Roberto Carosati,Bronze,Male,Italy,Unknown,FIELD
2024,Recurve Men's individual,Brady Ellison,Gold,Male,States,Unknown,FIELD
2024,Recurve Men's individual,Ryan Tyack,Silver,Male,Australia,Unknown,FIELD
2024,Recurve Men's individual,Matthew Nofel,Bronze,Male,States,Unknown,FIELD
2024,Barebow Men's individual,Cesar Vera Bringas,Gold,Male,Spain,Unknown,FIELD
2024,Barebow Men's individual,Erik Jonsson,Silver,Male,Sweden,Unknown,FIELD
2024,Barebow Men's individual,Giuseppe Seimandi,Bronze,Male,Italy,Unknown,FIELD
2024,Compound Women's individual,Paige Pearce,Gold,Female,States,Unknown,FIELD
2024,Compound Women's individual,Amanda Mlinarić,Silver,Female,Croatia,Unknown,FIELD
2024,Compound Women's individual,Ella Gibson  Great Britain,Bronze,Female,Britain,Unknown,FIELD
2024,Recurve Women's individual,Roberta Di Francesco,Gold,Female,Italy,Unknown,FIELD
2024,Recurve Women's individual,Gaby Schloesser,Silver,Female,Netherlands,Unknown,FIELD
2024,Recurve Women's individual,Chiara Rebagliati,Bronze,Female,Italy,Unknown,FIELD
2024,Barebow Women's individual,Fawn Girard,Gold,Female,States,Unknown,FIELD
2024,Barebow Women's individual,Claudia Noemí Carcacha,Silver,Female,Argentina,Unknown,FIELD
2024,Barebow Women's individual,Livia Fabris,Bronze,Female,Italy,Unknown,FIELD
2024,Compound Men's individual,Dewey Hathaway,Gold,Male,States,Unknown,FIELD
